Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(554.79296875, 284.9375),2025-02-21 22:02:50
Mouse,(Move),Moved,(576.65234375, 257.609375),2025-02-21 22:02:50
Mouse,(Move),Moved,(621.0546875, 208.26953125),2025-02-21 22:02:50
Mouse,(Move),Moved,(656.9375, 176.60546875),2025-02-21 22:02:50
Mouse,(Move),Moved,(685.0625, 159.0234375),2025-02-21 22:02:50
Mouse,(Move),Moved,(707.48828125, 151.546875),2025-02-21 22:02:50
Mouse,(Move),Moved,(716.2578125, 151.546875),2025-02-21 22:02:50
Mouse,(Move),Moved,(744.6484375, 151.546875),2025-02-21 22:02:50
Mouse,(Move),Moved,(757.26953125, 156.1328125),2025-02-21 22:02:50
Mouse,(Move),Moved,(767.8359375, 170.66015625),2025-02-21 22:02:50
Mouse,(Move),Moved,(777.08203125, 186.5078125),2025-02-21 22:02:50
Mouse,(Move),Moved,(782.7109375, 206.21875),2025-02-21 22:02:50
Mouse,(Move),Moved,(785.69921875, 228.64453125),2025-02-21 22:02:50
Mouse,(Move),Moved,(787.19140625, 251.0703125),2025-02-21 22:02:50
Mouse,(Move),Moved,(787.19140625, 261.67578125),2025-02-21 22:02:50
Mouse,(Move),Moved,(787.19140625, 281.38671875),2025-02-21 22:02:50
Mouse,(Move),Moved,(787.19140625, 288.4921875),2025-02-21 22:02:50
Mouse,(Move),Moved,(787.19140625, 299.0859375),2025-02-21 22:02:50
Mouse,(Move),Moved,(786.30078125, 306.19140625),2025-02-21 22:02:50
Mouse,(Move),Moved,(785.66796875, 309.34765625),2025-02-21 22:02:50
Mouse,(Move),Moved,(785.66796875, 311.53125),2025-02-21 22:02:50
Mouse,(Move),Moved,(785.66796875, 312.28125),2025-02-21 22:02:50
Mouse,(Move),Moved,(787.84765625, 312.28125),2025-02-21 22:02:51
Mouse,(Move),Moved,(809.55859375, 292.23828125),2025-02-21 22:02:51
Mouse,(Move),Moved,(840.5, 267.09375),2025-02-21 22:02:51
Mouse,(Move),Moved,(883.54296875, 233.109375),2025-02-21 22:02:51
Mouse,(Move),Moved,(902.9765625, 219.65234375),2025-02-21 22:02:51
Mouse,(Move),Moved,(944.765625, 188.85546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(981.16796875, 164.5859375),2025-02-21 22:02:51
Mouse,(Move),Moved,(992.640625, 157.69921875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1019.359375, 144.3359375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1024.9765625, 141.92578125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1054.859375, 131.375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1063.62890625, 130.3984375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1067.9296875, 130.3984375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1074.1484375, 133.94921875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1077.13671875, 156.375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1077.13671875, 188.015625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1077.13671875, 230.484375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1065.69140625, 285.40625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1059.0078125, 313.796875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1049.8515625, 368.71875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1048.52734375, 385.88671875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1045.0078125, 417.52734375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1045.0078125, 437.23828125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1045.0078125, 449.859375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1049.25, 460.46484375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1066.41796875, 463.10546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1094.80859375, 463.10546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1133.23046875, 444.90234375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1156.96875, 433.82421875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1198.80078125, 412.90625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1237.22265625, 394.703125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1252.02734375, 389.765625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1313.6953125, 370.02734375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1324.30078125, 370.02734375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1346.7265625, 368.53125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1363.89453125, 368.53125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1378.69921875, 368.53125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1396.640625, 381.984375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1404.04296875, 395.55859375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1408.00390625, 412.7265625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1409.84765625, 447.796875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1409.84765625, 479.4375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1398.76953125, 514.5078125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1375.734375, 556.3828125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1340.0703125, 603.93359375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1296.609375, 657.61328125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1245.48046875, 706.1796875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1182.5546875, 758.15625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1111.90625, 806.19140625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1033.171875, 852.84375),2025-02-21 22:02:51
